Fecha,Índice COLCAP
2012-09-24,1696.13
2012-09-25,1686.1
2012-09-26,1683.52
2012-09-27,1695.75
2012-09-28,1681.08
2012-10-01,1683.4
2012-10-02,1695.46
2012-10-03,1692.75
2012-10-04,1703.7
2012-10-05,1704.62
2012-10-08,1702.03
2012-10-09,1695.89
2012-10-10,1698.16
2012-10-11,1700.28
2012-10-12,1706.5
2012-10-16,1721.62
2012-10-17,1753.63
2012-10-18,1775.3
2012-10-19,1780.11
2012-10-22,1795.74
2012-10-23,1790.49
2012-10-24,1795.58
2012-10-25,1832.14
2012-10-26,1830.06
2012-10-29,1835.82
2012-10-30,1813.4
2012-10-31,1809.93
2012-11-01,1771.46
2012-11-02,1754.39
2012-11-06,1732.64
2012-11-07,1699.73
2012-11-08,1739.43
2012-11-09,1747.73
2012-11-13,1737.21
2012-11-14,1728.71
2012-11-15,1740.01
2012-11-16,1738.39
2012-11-19,1748.17
2012-11-20,1752.21
2012-11-21,1744.35
2012-11-22,1739.91
2012-11-23,1746.28
2012-11-26,1737.34
2012-11-27,1733.54
2012-11-28,1735.31
2012-11-29,1744.2
2012-11-30,1754.75
2012-12-03,1761.23
2012-12-04,1777.56
2012-12-05,1796.54
2012-12-06,1797.96
2012-12-07,1795.67
2012-12-10,1801.07
2012-12-11,1809.28
2012-12-12,1820.16
2012-12-13,1809.08
2012-12-14,1804.74
2012-12-17,1804.27
2012-12-18,1809.56
2012-12-19,1813.1
2012-12-20,1811.52
2012-12-21,1808.26
2012-12-24,1824.11
2012-12-26,1817.99
2012-12-27,1823.54
2012-12-28,1823.23
2013-01-02,1828.67
2013-01-03,1832.31
2013-01-04,1830.02
2013-01-08,1832.04
2013-01-09,1844.33
2013-01-10,1837.77
2013-01-11,1837.01
2013-01-14,1833.95
2013-01-15,1832.45
2013-01-16,1834.61
2013-01-17,1839.83
2013-01-18,1843.4
2013-01-21,1842.13
2013-01-22,1850.75
2013-01-23,1857.44
2013-01-24,1861.34
2013-01-25,1867.01
2013-01-28,1855.05
2013-01-29,1860.29
2013-01-30,1867.57
2013-01-31,1863.78
2013-02-01,1874.6
2013-02-04,1877.86
2013-02-05,1889.47
2013-02-06,1878.14
2013-02-07,1869.31
2013-02-08,1871.59
2013-02-11,1857.63
2013-02-12,1864.47
2013-02-13,1868.19
2013-02-14,1869.99
2013-02-15,1857.86
2013-02-18,1855.07
2013-02-19,1842.93
2013-02-20,1835.66
2013-02-21,1836.83
2013-02-22,1851.5
2013-02-25,1857.03
2013-02-26,1846.75
2013-02-27,1845.41
2013-02-28,1844.49
2013-03-01,1839.74
2013-03-04,1822.46
2013-03-05,1815.27
2013-03-06,1806.97
2013-03-07,1790.98
2013-03-08,1792.26
2013-03-11,1793.99
2013-03-12,1800.66
2013-03-13,1790.1
2013-03-14,1789.81
2013-03-15,1806.67
2013-03-18,1796.57
2013-03-19,1760.23
2013-03-20,1759.56
2013-03-21,1758.44
2013-03-22,1760.05
2013-03-26,1773.98
2013-03-27,1774.86
2013-04-01,1770.09
2013-04-02,1769.61
2013-04-03,1746.9
2013-04-04,1756.97
2013-04-05,1758.88
2013-04-08,1745.89
2013-04-09,1739.58
2013-04-10,1742.18
2013-04-11,1750.72
2013-04-12,1733.9
2013-04-15,1682.2
2013-04-16,1705.48
2013-04-17,1699.94
2013-04-18,1703.49
2013-04-19,1705.98
2013-04-22,1713.68
2013-04-23,1713.35
2013-04-24,1715.77
2013-04-25,1715.96
2013-04-26,1705.11
2013-04-29,1700.13
2013-04-30,1684.88
2013-05-02,1695.64
2013-05-03,1698.54
2013-05-06,1686.81
2013-05-07,1688.35
2013-05-08,1674.3
2013-05-09,1674.21
2013-05-10,1654.77
2013-05-14,1663.53
2013-05-15,1677.53
2013-05-16,1686.64
2013-05-17,1689.89
2013-05-20,1681.81
2013-05-21,1690.57
2013-05-22,1694.68
2013-05-23,1699.53
2013-05-24,1704.66
2013-05-27,1704.2
2013-05-28,1716.23
2013-05-29,1708.44
2013-05-30,1702.68
2013-05-31,1666.25
2013-06-04,1685.12
2013-06-05,1682.02
2013-06-06,1677.52
2013-06-07,1672.83
2013-06-11,1653.52
2013-06-12,1629.7
2013-06-13,1629.59
2013-06-14,1636.9
2013-06-17,1635.23
2013-06-18,1655.85
2013-06-19,1650.73
2013-06-20,1614.17
2013-06-21,1595.35
2013-06-24,1570.66
2013-06-25,1557.29
2013-06-26,1574.5
2013-06-27,1577.39
2013-06-28,1615.84
2013-07-02,1613.05
2013-07-03,1607.03
2013-07-04,1610.45
2013-07-05,1597.41
2013-07-08,1586.14
2013-07-09,1575.68
2013-07-10,1550.7
2013-07-11,1584.43
2013-07-12,1604.24
2013-07-15,1634.75
2013-07-16,1644.74
2013-07-17,1666.87
2013-07-18,1680.11
2013-07-19,1685.63
2013-07-22,1666.29
2013-07-23,1694.59
2013-07-24,1704.86
2013-07-25,1701.29
2013-07-26,1694.34
2013-07-29,1689.53
2013-07-30,1694.9
2013-07-31,1680.7
2013-08-01,1706
2013-08-02,1721.95
2013-08-05,1718.45
2013-08-06,1720.03
2013-08-08,1716.4
2013-08-09,1720.67
2013-08-12,1722.91
2013-08-13,1736.35
2013-08-14,1747.11
2013-08-15,1730.41
2013-08-16,1727.74
2013-08-20,1725.64
2013-08-21,1723.34
2013-08-22,1722.35
2013-08-23,1720.68
2013-08-26,1714.15
2013-08-27,1714.14
2013-08-28,1734
2013-08-29,1721.94
2013-08-30,1729.62
2013-09-02,1732.65
2013-09-03,1737.62
2013-09-04,1746.9
2013-09-05,1746.75
2013-09-06,1736.54
2013-09-09,1752.76
2013-09-10,1765.98
2013-09-11,1770.01
2013-09-12,1768.04
2013-09-13,1761.31
2013-09-16,1758.74
2013-09-17,1766.95
2013-09-18,1766
2013-09-19,1765.99
2013-09-20,1767.5
2013-09-23,1773.48
2013-09-24,1775.35
2013-09-25,1777
2013-09-26,1765.51
2013-09-27,1768.52
2013-09-30,1752.26
2013-10-01,1757.92
2013-10-02,1756.97
2013-10-03,1754.75
2013-10-04,1751.71
2013-10-07,1753.6
2013-10-08,1757.29
2013-10-09,1751.06
2013-10-10,1756.77
2013-10-11,1763.11
2013-10-15,1766.44
2013-10-16,1770.06
2013-10-17,1772.17
2013-10-18,1781
2013-10-21,1779.67
2013-10-22,1773.52
2013-10-23,1771.25
2013-10-24,1775.05
2013-10-25,1773.84
2013-10-28,1763.16
2013-10-29,1763.01
2013-10-30,1758.37
2013-10-31,1742.94
2013-11-01,1752.97
2013-11-05,1734.76
2013-11-06,1736.78
2013-11-07,1713.84
2013-11-08,1678.18
2013-11-12,1626.07
2013-11-13,1663
2013-11-14,1672.18
2013-11-15,1672.1
2013-11-18,1670.99
2013-11-19,1666.26
2013-11-20,1662.73
2013-11-21,1659.55
2013-11-22,1655.24
2013-11-25,1635.5
2013-11-26,1625.62
2013-11-27,1622.53
2013-11-28,1627.07
2013-11-29,1630.19
2013-12-02,1625.93
2013-12-03,1626.99
2013-12-04,1587.37
2013-12-05,1610.28
2013-12-06,1599.52
2013-12-09,1614.63
2013-12-10,1624
2013-12-11,1630.84
2013-12-12,1646.73
2013-12-13,1638.2
2013-12-16,1606.98
2013-12-17,1616.45
2013-12-18,1600.13
2013-12-19,1607.44
2013-12-20,1630.43
2013-12-23,1602.6
2013-12-24,1613.81
2013-12-26,1602.72
2013-12-27,1601.5
2013-12-30,1606.33
2014-01-02,1611.77
2014-01-03,1601.29
2014-01-07,1575.61
2014-01-08,1566.28
2014-01-09,1563.4
2014-01-10,1542.07
2014-01-13,1539.48
2014-01-14,1542.3
2014-01-15,1548.29
2014-01-16,1535.34
2014-01-17,1536.08
2014-01-20,1537.99
2014-01-21,1533.29
2014-01-22,1541.94
2014-01-23,1516.2
2014-01-24,1494.77
2014-01-27,1473.27
2014-01-28,1461
2014-01-29,1452.68
2014-01-30,1453.56
2014-01-31,1460.04
2014-02-03,1448.56
2014-02-04,1451.76
2014-02-05,1465.76
2014-02-06,1487.61
2014-02-07,1499.57
2014-02-10,1484.52
2014-02-11,1497.94
2014-02-12,1515.4
2014-02-13,1520.23
2014-02-14,1527.35
2014-02-17,1524.79
2014-02-18,1534.93
2014-02-19,1546.07
2014-02-20,1525.21
2014-02-21,1520.6
2014-02-24,1535.11
2014-02-25,1501.4
2014-02-26,1488.44
2014-02-27,1495.01
2014-02-28,1520.74
2014-03-03,1504.11
2014-03-04,1539.33
2014-03-05,1563.41
2014-03-06,1588.91
2014-03-07,1571.84
2014-03-10,1571.44
2014-03-11,1586.04
2014-03-12,1584.93
2014-03-13,1597.85
2014-03-14,1589.85
2014-03-17,1596.76
2014-03-18,1592.49
2014-03-19,1595.18
2014-03-20,1608.99
2014-03-21,1607.95
2014-03-25,1639.02
2014-03-26,1646.01
2014-03-27,1663.84
2014-03-28,1673.72
2014-03-31,1688.3
2014-04-01,1691.88
2014-04-02,1707.22
2014-04-03,1713.01
2014-04-04,1703.12
2014-04-07,1682.99
2014-04-08,1673.08
2014-04-09,1668.97
2014-04-10,1681.42
2014-04-11,1676.8
2014-04-14,1688.17
2014-04-15,1669.24
2014-04-16,1677.73
2014-04-21,1668.85
2014-04-22,1654.78
2014-04-23,1649.67
2014-04-24,1634.54
2014-04-25,1641.46
2014-04-28,1642.1
2014-04-29,1653.62
2014-04-30,1672.47
2014-05-02,1659.54
2014-05-05,1650.36
2014-05-06,1651.95
2014-05-07,1663.76
2014-05-08,1674.28
2014-05-09,1674.22
2014-05-12,1686.47
2014-05-13,1688.91
2014-05-14,1689.49
2014-05-15,1676.77
2014-05-16,1685.11
2014-05-19,1683.19
2014-05-20,1662.45
2014-05-21,1673.48
2014-05-22,1664.57
2014-05-23,1666.79
2014-05-26,1663.96
2014-05-27,1663.46
2014-05-28,1661.55
2014-05-29,1662.86
2014-05-30,1659.05
2014-06-03,1678.97
2014-06-04,1675.34
2014-06-05,1682.81
2014-06-06,1676.84
2014-06-09,1683.87
2014-06-10,1714.03
2014-06-11,1720.6
2014-06-12,1714.84
2014-06-13,1716.81
2014-06-16,1728.28
2014-06-17,1719.06
2014-06-18,1722.24
2014-06-19,1720.16
2014-06-20,1725.13
2014-06-24,1723.7
2014-06-25,1717.65
2014-06-26,1710.67
2014-06-27,1705.99
2014-07-01,1705.14
2014-07-02,1703.39
2014-07-03,1705.49
